observableId	experimentId	time	measurement	noiseParameters
obs_Obs_A		0	100	
obs_Obs_A		1	44.93289704	
obs_Obs_A		2	20.18965295	
obs_Obs_A		3	9.071796227	
obs_Obs_A		4	4.076220973	
obs_Obs_A		5	1.831564225	
obs_Obs_A		6	0.8229748908	
obs_Obs_A		7	0.3697864707	
obs_Obs_A		8	0.1661558096	
obs_Obs_A		9	0.07465864403	
obs_Obs_A		10	0.03354630301	
obs_Obs_A		11	0.01507333305	
obs_Obs_A		12	0.006772907538	
obs_Obs_A		13	0.003043272293	
obs_Obs_A		14	0.001367434353	
obs_Obs_A		15	0.0006144441419	
obs_Obs_A		16	0.0002760948515	
obs_Obs_A		17	0.0001240606215	
obs_Obs_A		18	5.574548712e-05	
obs_Obs_A		19	2.504874579e-05	
obs_Obs_A		20	1.125542565e-05	
obs_Obs_B		0	0	
obs_Obs_B		1	47.92317274	
obs_Obs_B		2	58.85587348	
obs_Obs_B		3	55.51252225	
obs_Obs_B		4	47.58068821	
obs_Obs_B		5	39.00933158	
obs_Obs_B		6	31.25824164	
obs_Obs_B		7	24.73833873	
obs_Obs_B		8	19.44345094	
obs_Obs_B		9	15.22220192	
obs_Obs_B		10	11.89084155	
obs_Obs_B		11	9.276673158	
obs_Obs_B		12	7.231903925	
obs_Obs_B		13	5.635458232	
obs_Obs_B		14	4.390357721	
obs_Obs_B		15	3.419869388	
obs_Obs_B		16	2.663691459	
obs_Obs_B		17	2.074617342	
obs_Obs_B		18	1.615773093	
obs_Obs_B		19	1.258392089	
obs_Obs_B		20	0.9800487667	
obs_Obs_C		0	0	
obs_Obs_C		1	7.143930219	
obs_Obs_C		2	20.95447357	
obs_Obs_C		3	35.41568153	
obs_Obs_C		4	48.34309082	
obs_Obs_C		5	59.15910419	
obs_Obs_C		6	67.91878347	
obs_Obs_C		7	74.8918748	
obs_Obs_C		8	80.39039325	
obs_Obs_C		9	84.70313944	
obs_Obs_C		10	88.07561215	
obs_Obs_C		11	90.70825351	
obs_Obs_C		12	92.76132317	
obs_Obs_C		13	94.3614985	
obs_Obs_C		14	95.60827484	
obs_Obs_C		15	96.57951617	
obs_Obs_C		16	97.33603245	
obs_Obs_C		17	97.9252586	
obs_Obs_C		18	98.38417116	
obs_Obs_C		19	98.74158286	
obs_Obs_C		20	99.01993998	
