observableId	experimentId	time	measurement
frac_C	exp1	0	0
log_A	exp1	0	4.605170186
conc_B	exp1	0	0
frac_C	exp1	1	0.08720912517
log_A	exp1	1	3.905170188
conc_B	exp1	1	4.162055702
frac_C	exp1	2	0.2534263591
log_A	exp1	2	3.205170198
conc_B	exp1	2	4.999766741
frac_C	exp1	3	0.4225809325
log_A	exp1	3	2.505170208
conc_B	exp1	3	4.549626366
frac_C	exp1	4	0.5676161398
log_A	exp1	4	1.80517028
conc_B	exp1	4	3.715737919
frac_C	exp1	6	0.7700827232
log_A	exp1	6	0.405170439
conc_B	exp1	6	2.149216962
frac_C	exp1	8	0.8820777393
log_A	exp1	8	-0.9948294009
conc_B	exp1	8	1.142243955
